material;preco_brl;data_coleta
Calcário Agrícola Dolomítico em Itapeva, SP;82.65;2026-03-14 17:21:25
Calcário Dolomítico e Calcítico - SP;250.0;2026-03-14 17:21:25
Calcário Agrícola de Qualidade - Curitiba;80.0;2026-03-14 17:21:25
Calcário Dolomítico PR - Alta Neutralidade;85.0;2026-03-14 17:21:25
Calcário Granulado - Carbonato de Cálcio;600.0;2026-03-14 17:21:25
Jázida de Calcário Dolomítico em Posse, GO;3000000.0;2026-03-14 17:21:25
Calcário Dolomítico - Nobres, MT;65.0;2026-03-14 17:21:25
Calcário Dolomítico - Riqueza em Magnésio;90.0;2026-03-14 17:21:25
Calcário Calcítico de Qualidade para Agricultura;90.0;2026-03-14 17:21:25
Calcário Granulado - Condicionador de Solo;600.0;2026-03-14 17:21:25
Calcário de Alta Qualidade para Lavoura;115.0;2026-03-14 17:21:25
Calcário para Agricultura em Vila Propício - GO;122.0;2026-03-14 17:21:25
Venda e Aplicação de Calcário para Correção de Solo;1.0;2026-03-14 17:21:25
Calcário Agrícola e Dolomítico - Arcos, MG;105.0;2026-03-14 17:21:25
Calcário Dolomítico e Calcítico para Lavouras;80.0;2026-03-14 17:21:25
Calcário Dolomítico - Calpar (Tonelada);83.0;2026-03-14 17:21:25
Jazida de Calcário Agrícola na Bahia;16700.0;2026-03-14 17:21:25
Corretivo de Acidez Calcário Dolomítico e Calcítico;110.0;2026-03-14 17:21:25
Calcário Agrícola de Qualidade em Arcos MG;95.0;2026-03-14 17:21:25
Calcário Agrícola Premium para Correção de Solo;85.0;2026-03-14 17:21:25
Calcário e Gesso - Solo Corrigido;105.0;2026-03-14 17:21:25
Calcário em Tonelada - Nutrição e Insumos Agrícolas;140.0;2026-03-14 17:21:25
Calcário Líquido Concentrado com Nano Partículas;22.0;2026-03-14 17:21:25
Calcário Agrícola de Alta Qualidade - Tonelada;80.0;2026-03-14 17:21:25
Calcário de Qualidade à Venda - Guapiara, SP;225.0;2026-03-14 17:21:25
Calcário Dolomítico - Correção de Solo;81.0;2026-03-14 17:21:25
Calcário Dolomítico e Calcítico à Venda;35.0;2026-03-14 17:21:25
Calcário Calcítico de Alta Pureza - Tonelada;50.0;2026-03-14 17:21:25
